address,name,size,calling_convention,external,thunk
0x080000C0,"AgbMain",52,"unknown",false,false
0x08000104,"IntrMain",276,"unknown",false,false
0x08000220,"VBlankIntr",312,"unknown",false,false
0x0800038C,"InitInterrupts",102,"unknown",false,false
0x08000430,"GameInit",652,"unknown",false,false
0x08000730,"NoOpVBlankFinalize",2,"unknown",false,false
0x08000734,"DummyIntr",2,"unknown",false,false
0x08000738,"RunVBlankTransfers",80,"unknown",false,false
0x08000798,"NoOpInterruptHelper",2,"unknown",false,false
0x0800079C,"VCountIntr",20,"unknown",false,false
0x080007B4,"ResetDisplayAndInterrupts",90,"unknown",false,false
0x0800082C,"InitSaveSystem",218,"unknown",false,false
0x0800091C,"ReadEepromBytes",200,"unknown",false,false
0x080009EC,"WriteEepromBytes",262,"unknown",false,false
0x08000B00,"WriteSaveSlot",108,"unknown",false,false
0x08000B78,"ReadSaveSlot",94,"unknown",false,false
0x08000BE4,"IsSaveSlotValid",24,"unknown",false,false
0x08000C00,"ReadSaveMetadata",18,"unknown",false,false
0x08000C14,"WriteSaveMetadata",18,"unknown",false,false
0x08000C28,"InitSaveManager",202,"unknown",false,false
0x08000D20,"LoadSaveSlot",88,"unknown",false,false
0x08000D80,"WriteGameSaveSlot",84,"unknown",false,false
0x08000DDC,"ReadEepromRange",300,"unknown",false,false
0x08000F1C,"WriteEepromRange",356,"unknown",false,false
0x08001094,"EraseSaveSlot",58,"unknown",false,false
0x080010D4,"GetSaveSlotHeader",30,"unknown",false,false
0x080010F8,"ReadU8",4,"unknown",false,false
0x080010FC,"ReadU16LE",12,"unknown",false,false
0x08001108,"ReadU32LE",24,"unknown",false,false
0x08001120,"WriteU8",4,"unknown",false,false
0x08001124,"WriteU16LE",12,"unknown",false,false
0x08001130,"WriteU32LE",28,"unknown",false,false
0x0800114C,"BuildActiveMenuItems",146,"unknown",false,false
0x080011EC,"DrawMenuItems",408,"unknown",false,false
0x080013AC,"InitMenuScreen",138,"unknown",false,false
0x08001458,"RunMenuScreen",956,"unknown",false,false
0x08001A00,"FUN_08001a00",728,"unknown",false,false
0x08001DC0,"ResetMenuState",44,"unknown",false,false
0x08001E00,"IsMenuFlagSet",22,"unknown",false,false
0x08001E1C,"FinalizeMenuLayout",18,"unknown",false,false
0x08001E30,"LoadMenuGraphics",78,"unknown",false,false
0x08001EA4,"ClearMenuVram",48,"unknown",false,false
0x08001EE4,"EnableMenuDisplay",12,"unknown",false,false
0x08001EF4,"EnableMenuDisplayAlt",12,"unknown",false,false
0x08001F04,"FUN_08001f04",636,"unknown",false,false
0x08002194,"FUN_08002194",558,"unknown",false,false
0x080023F0,"FUN_080023f0",148,"unknown",false,false
0x080024B4,"FUN_080024b4",250,"unknown",false,false
0x08002600,"FUN_08002600",220,"unknown",false,false
0x080026F8,"FUN_080026f8",1364,"unknown",false,false
0x08002C96,"FUN_08002c96",53,"unknown",false,false
0x08003008,"FUN_08003008",53,"unknown",false,false
0x0800309E,"FUN_0800309e",77,"unknown",false,false
0x080031EA,"FUN_080031ea",14,"unknown",false,false
0x080032B8,"FUN_080032b8",8,"unknown",false,false
0x080033D2,"FUN_080033d2",40,"unknown",false,false
0x080033FA,"FUN_080033fa",68,"unknown",false,false
0x08003454,"FUN_08003454",124,"unknown",false,false
0x080034EC,"FUN_080034ec",106,"unknown",false,false
0x0800355C,"FUN_0800355c",734,"unknown",false,false
0x080038C4,"FUN_080038c4",172,"unknown",false,false
0x08003984,"FUN_08003984",566,"unknown",false,false
0x08003C14,"FUN_08003c14",124,"unknown",false,false
0x08003CB4,"FUN_08003cb4",750,"unknown",false,false
0x08003FF0,"FUN_08003ff0",226,"unknown",false,false
0x08004100,"FUN_08004100",84,"unknown",false,false
0x08004168,"FUN_08004168",138,"unknown",false,false
0x08004214,"FUN_08004214",98,"unknown",false,false
0x08004280,"FUN_08004280",624,"unknown",false,false
0x0800450C,"FUN_0800450c",392,"unknown",false,false
0x080046DC,"FUN_080046dc",1018,"unknown",false,false
0x08004B48,"FUN_08004b48",326,"unknown",false,false
0x08004CB0,"FUN_08004cb0",328,"unknown",false,false
0x08004E0C,"FUN_08004e0c",318,"unknown",false,false
0x08004F74,"FUN_08004f74",1218,"unknown",false,false
0x08005532,"FUN_08005532",1752,"unknown",false,false
0x08005D02,"FUN_08005d02",84,"unknown",false,false
0x08005D70,"FUN_08005d70",264,"unknown",false,false
0x08005E8C,"FUN_08005e8c",186,"unknown",false,false
0x08005F5C,"FUN_08005f5c",16,"unknown",false,false
0x08005F74,"FUN_08005f74",44,"unknown",false,false
0x08005FA8,"FUN_08005fa8",24,"unknown",false,false
0x08005FC4,"FUN_08005fc4",10,"unknown",false,false
0x08005FE0,"FUN_08005fe0",56,"unknown",false,false
0x08006028,"FUN_08006028",58,"unknown",false,false
0x0800607C,"FUN_0800607c",18,"unknown",false,false
0x08006124,"FUN_08006124",66,"unknown",false,false
0x08006210,"FUN_08006210",88,"unknown",false,false
0x08006278,"FUN_08006278",34,"unknown",false,false
0x080066A8,"FUN_080066a8",614,"unknown",false,false
0x08006940,"FUN_08006940",894,"unknown",false,false
0x08006D40,"FUN_08006d40",122,"unknown",false,false
0x080074A4,"FUN_080074a4",322,"unknown",false,false
0x0800760C,"FUN_0800760c",200,"unknown",false,false
0x08007ABC,"FUN_08007abc",646,"unknown",false,false
