address,recorded_size,corrected_size,kind,evidence
0x08067E04,488,488,stack-frame,"push at 0x08067E04; return at 0x08067FE8"
0x08067FEC,240,500,local-routine,"BL calls at 0x08067F74 and 0x08067FDC; mov pc,lr at 0x080681DC"
0x080681E0,240,504,local-routine,"BL calls at 0x08067F6C and 0x08067FD4; mov pc,lr at 0x080683D0"
0x080683D8,1348,1348,stack-frame,"push at 0x080683D8; return at 0x08068914"
0x0806891C,3500,3744,local-routine,"four BL callers in parent; mov pc,lr at 0x080697B0"
0x080697BC,224,224,stack-frame,"push at 0x080697BC; return at 0x08069898"
0x0806989C,360,3364,local-routine,"BL calls at 0x08069858 and 0x0806988C; mov pc,lr at 0x0806A5BC"
0x0806A5C0,216,216,stack-frame,"push at 0x0806A5C0; return at 0x0806A690"
0x0806A698,228,228,stack-frame,"push at 0x0806A698; return at 0x0806A774"
0x0806A77C,196,196,stack-frame,"push at 0x0806A77C; return at 0x0806A83C"
0x0806A840,240,240,stack-frame,"push at 0x0806A840; return at 0x0806A92C"
0x0806A930,228,228,stack-frame,"push at 0x0806A930; return at 0x0806AA10"
0x0806AA14,288,288,stack-frame,"push at 0x0806AA14; return at 0x0806AB30"
0x0806AB34,1788,1788,stack-frame,"push at 0x0806AB34; primary and alternate returns at 0x0806B218/0x0806B228"
0x0806B230,280,280,stack-frame,"push at 0x0806B230; return at 0x0806B344"
0x0806B348,248,248,stack-frame,"push at 0x0806B348; return/thunks end at 0x0806B43C"
0x0806B440,520,520,stack-frame,"push at 0x0806B440; return/alternate epilogue ends at 0x0806B644"
0x0806B648,516,516,stack-frame,"push at 0x0806B648; return at 0x0806B848"
