finding_address,recorded_size,reachable_size,resolution,evidence
0x08002600,248,3646,extend_true_function,reachable control flow crosses recorded end; 0x080026F8:reachable-code;0x080031EA:reachable-code;0x080032B8:reachable-code;0x080033D2:reachable-code;0x080033FA:reachable-code
0x080026F8,2802,3398,remove_false_internal_split,entry lies inside earlier reachable body; 0x080031EA:reachable-code;0x080032B8:reachable-code;0x080033D2:reachable-code;0x080033FA:reachable-code
0x080031EA,206,596,remove_false_internal_split,entry lies inside earlier reachable body; 0x080032B8:extent-hole;0x080033D2:reachable-code;0x080033FA:reachable-code
0x080032B8,282,390,remove_false_internal_split,entry lies inside earlier reachable body; 0x080033D2:reachable-code;0x080033FA:reachable-code
0x080033D2,40,108,remove_false_internal_split,entry lies inside earlier reachable body; 0x080033FA:reachable-code
0x08004F74,1470,3554,extend_true_function,reachable control flow crosses recorded end; 0x08005532:reachable-code;0x08005D02:reachable-code
0x08005532,2000,2084,remove_false_internal_split,entry lies inside earlier reachable body; 0x08005D02:reachable-code
0x080066A8,154,664,extend_true_function,reachable control flow crosses recorded end; 0x08006742:literal-data
0x0800932C,2230,2246,extend_true_function,reachable control flow crosses recorded end; 0x08009BE2:reachable-code
0x08009BF8,2168,2184,extend_true_function,reachable control flow crosses recorded end; 0x0800A470:reachable-code
0x0801001A,162,180,extend_true_function,reachable control flow crosses recorded end; 0x080100BC:reachable-code
0x080108F4,3378,3394,extend_true_function,reachable control flow crosses recorded end; 0x08011626:reachable-code
0x08015AF8,648,3054,extend_true_function,reachable control flow crosses recorded end; 0x08015D80:literal-data;0x08016446:extent-hole;0x08016568:extent-hole
0x08015D80,1734,2406,remove_false_internal_split,entry lies inside earlier reachable body; 0x08016446:extent-hole;0x08016568:extent-hole
0x08016446,290,672,remove_false_internal_split,entry lies inside earlier reachable body; 0x08016568:literal-data
0x08016990,2302,2318,extend_true_function,reachable control flow crosses recorded end; 0x0801728E:reachable-code
0x0801AACC,566,1046,extend_true_function,reachable control flow crosses recorded end; 0x0801AD02:literal-data;0x0801AD4A:literal-data
0x0801AD02,72,480,remove_false_internal_split,entry lies inside earlier reachable body; 0x0801AD4A:literal-data
0x0801E678,2592,2610,extend_true_function,reachable control flow crosses recorded end; 0x0801F098:extent-hole;0x0801F09A:reachable-code
0x0801F098,2,18,remove_false_internal_split,entry lies inside earlier reachable body; 0x0801F09A:reachable-code
0x08020B70,490,2580,extend_true_function,reachable control flow crosses recorded end; 0x08020D5A:reachable-code
0x08021588,2,18,extend_true_function,reachable control flow crosses recorded end; 0x0802158A:reachable-code
0x080223CC,2140,2156,extend_true_function,reachable control flow crosses recorded end; 0x08022C28:reachable-code
0x0802B484,86,98,extend_true_function,reachable control flow crosses recorded end; 0x0802B4DA:literal-data
0x0802B4E8,546,1106,extend_true_function,reachable control flow crosses recorded end; 0x0802B70A:reachable-code;0x0802B82E:reachable-code
0x0802B70A,292,560,remove_false_internal_split,entry lies inside earlier reachable body; 0x0802B82E:reachable-code
0x0802B950,286,1182,extend_true_function,reachable control flow crosses recorded end; 0x0802BA6E:reachable-code;0x0802BADA:reachable-code;0x0802BB96:reachable-code;0x0802BC02:reachable-code
0x0802BA6E,108,896,remove_false_internal_split,entry lies inside earlier reachable body; 0x0802BADA:reachable-code;0x0802BB96:reachable-code;0x0802BC02:reachable-code
0x0802BADA,188,788,remove_false_internal_split,entry lies inside earlier reachable body; 0x0802BB96:reachable-code;0x0802BC02:reachable-code
0x0802BB96,108,600,remove_false_internal_split,entry lies inside earlier reachable body; 0x0802BC02:reachable-code
0x0802F4A0,22,154,extend_true_function,reachable control flow crosses recorded end; 0x0802F4B6:reachable-code
0x0802F95C,58,610,extend_true_function,reachable control flow crosses recorded end; 0x0802F996:reachable-code
0x080324FC,14,32,extend_true_function,reachable control flow crosses recorded end; 0x0803250A:reachable-code
0x08038A60,3186,3200,extend_true_function,reachable control flow crosses recorded end; 0x080396D2:reachable-code
0x080397EC,3254,3426,extend_true_function,reachable control flow crosses recorded end; 0x0803A4A2:reachable-code;0x0803A53E:reachable-code
0x0803A4A2,156,172,remove_false_internal_split,entry lies inside earlier reachable body; 0x0803A53E:reachable-code
0x08040D50,2272,2340,extend_true_function,reachable control flow crosses recorded end; 0x08041630:reachable-code;0x0804165C:reachable-code;0x08041662:reachable-code;0x08041664:reachable-code
0x08041630,44,68,remove_false_internal_split,entry lies inside earlier reachable body; 0x0804165C:reachable-code;0x08041662:reachable-code;0x08041664:reachable-code
0x0804165C,6,24,remove_false_internal_split,entry lies inside earlier reachable body; 0x08041662:reachable-code;0x08041664:reachable-code
0x08041662,2,18,remove_false_internal_split,entry lies inside earlier reachable body; 0x08041664:reachable-code
0x08053FF2,2,284,delete_false_start_keep_0x08053FF4,no inbound BL; address is upper half of literal 0x1C03FFFF; 0x08053FF4 has push prologue and 3 inbound BL calls
0x0805C2D8,3024,3058,extend_true_function,reachable control flow crosses recorded end; 0x0805CEA8:reachable-code;0x0805CEB4:reachable-code;0x0805CEBA:reachable-code
0x0805CEA8,12,34,remove_false_internal_split,entry lies inside earlier reachable body; 0x0805CEB4:extent-hole;0x0805CEBA:reachable-code
0x0805CEB4,6,22,remove_false_internal_split,entry lies inside earlier reachable body; 0x0805CEBA:reachable-code
0x0805EFF0,3930,3946,extend_true_function,reachable control flow crosses recorded end; 0x0805FF4A:reachable-code
0x080657D8,2296,2374,extend_true_function,reachable control flow crosses recorded end; 0x080660D0:extent-hole;0x0806610E:reachable-code
0x080660D0,62,78,remove_false_internal_split,entry lies inside earlier reachable body; 0x0806610E:reachable-code
0x0806DF8C,184,3940,extend_true_function,reachable control flow crosses recorded end; 0x0806E044:reachable-code;0x0806EEB0:reachable-code;0x0806EEC8:reachable-code;0x0806EEDC:reachable-code
0x0806E044,3692,3756,remove_false_internal_split,entry lies inside earlier reachable body; 0x0806EEB0:reachable-code;0x0806EEC8:reachable-code;0x0806EEDC:reachable-code
0x0806EEB0,24,64,remove_false_internal_split,entry lies inside earlier reachable body; 0x0806EEC8:reachable-code;0x0806EEDC:reachable-code
0x0806EEC8,20,40,remove_false_internal_split,entry lies inside earlier reachable body; 0x0806EEDC:reachable-code
0x0806F26C,3306,3322,extend_true_function,reachable control flow crosses recorded end; 0x0806FF56:reachable-code
0x0807180C,58,70,extend_true_function,reachable control flow crosses recorded end; 0x08071846:reachable-code
