address,name,size,status,module,notes
0x080000C0,AgbMain,52,matching,bootstrap,52-byte body and 16-byte literal pool reproduce ROM bytes 0xC0-0x103 exactly
0x08000104,IntrMain,276,matching,bootstrap,276-byte body and 8-byte literal pool reproduce ROM bytes 0x104-0x21F exactly
0x08000220,VBlankIntr,364,matching,interrupt,312-byte body with interleaved literal pools reproduces ROM bytes 0x220-0x38B exactly size measured including the tail pool (byte-matching evidence)
0x0800038C,InitInterrupts,164,matching,bootstrap,102-byte body and 62-byte padding/literal pool reproduce ROM bytes 0x38C-0x42F exactly size measured including the tail pool (byte-matching evidence)
0x08000430,GameInit,768,matching,bootstrap,Main initialization/game loop plus literal pools reproduce ROM bytes 0x430-0x72F exactly size measured including the tail pool (byte-matching evidence)
0x08000730,NoOpVBlankFinalize,2,matching,interrupt,Two-byte no-op called by VBlankIntr; included in 0x730-0x7B3 matching block
0x08000734,DummyIntr,2,matching,interrupt,Default two-byte IRQ handler; included in 0x730-0x7B3 matching block
0x08000738,RunVBlankTransfers,96,matching,interrupt,80-byte shared graphics transfer path; surrounding literals match size measured including the tail pool (byte-matching evidence)
0x08000798,NoOpInterruptHelper,2,matching,interrupt,Two-byte no-op helper; included in 0x730-0x7B3 matching block
0x0800079C,VCountIntr,24,matching,interrupt,20-byte VCount handler and literal reproduce ROM exactly size measured including the tail pool (byte-matching evidence)
0x080007B4,ResetDisplayAndInterrupts,120,matching,bootstrap,90-byte body and 30-byte padding/literals reproduce ROM bytes 0x7B4-0x82B exactly size measured including the tail pool (byte-matching evidence)
0x0800082C,InitSaveSystem,240,matching,save,Initializes EEPROM and CRAWSAVE metadata; entire 0x82C-0x91B region reproduces ROM size measured including the tail pool (byte-matching evidence)
0x0800091C,ReadEepromBytes,208,matching,save,Reads EEPROM in 8-byte units while masking interrupts; entire 0x91C-0x9EB region reproduces ROM size measured including the tail pool (byte-matching evidence)
0x080009EC,WriteEepromBytes,276,matching,save,Writes/verifies EEPROM with retries; entire 0x9EC-0xAFF region reproduces ROM size measured including the tail pool (byte-matching evidence)
0x08000B00,WriteSaveSlot,120,matching,save,Clamps slot/length and marks validity; included in exact 0xB00-0xBE3 block size measured including the tail pool (byte-matching evidence)
0x08000B78,ReadSaveSlot,108,matching,save,Checks validity and reads a clamped slot; included in exact 0xB00-0xBE3 block size measured including the tail pool (byte-matching evidence)
0x08000BE4,IsSaveSlotValid,28,matching,save,Reads metadata and returns slot-valid byte; exact in 0xBE4-0xBFF block size measured including the tail pool (byte-matching evidence)
0x08000C00,ReadSaveMetadata,18,matching,save,Reads the fixed 32-byte metadata block; exact in save-wrapper block
0x08000C14,WriteSaveMetadata,18,matching,save,Writes the fixed 32-byte metadata block; exact in save-wrapper block
0x08000C28,InitSaveManager,248,matching,save,Initializes three game-save headers and validates their checksum; exact through literal pools size measured including the tail pool (byte-matching evidence)
0x08000D20,LoadSaveSlot,96,matching,save,Loads a 160-byte slot and validates marker/complement checksum size measured including the tail pool (byte-matching evidence)
0x08000D80,WriteGameSaveSlot,92,matching,save,Creates a nonzero marker/complement checksum and writes a 160-byte slot size measured including the tail pool (byte-matching evidence)
0x08000DDC,ReadEepromRange,320,matching,save,Reads an arbitrary unaligned EEPROM byte range; exact 0xDDC-0xF1B region size measured including the tail pool (byte-matching evidence)
0x08000F1C,WriteEepromRange,376,matching,save,Writes arbitrary unaligned EEPROM byte ranges with bounded retries size measured including the tail pool (byte-matching evidence)
0x08001094,EraseSaveSlot,62,matching,save,Clears a slot header and its first EEPROM block size measured including the tail pool (byte-matching evidence)
0x080010D4,GetSaveSlotHeader,36,matching,save,Returns a valid slot header pointer or null size measured including the tail pool (byte-matching evidence)
0x080010F8,ReadU8,4,matching,serialization,Reads one byte from a serialized buffer
0x080010FC,ReadU16LE,12,matching,serialization,Reads an unaligned little-endian 16-bit value
0x08001108,ReadU32LE,24,matching,serialization,Reads an unaligned little-endian 32-bit value
0x08001120,WriteU8,4,matching,serialization,Writes one byte to a serialized buffer
0x08001124,WriteU16LE,12,matching,serialization,Writes an unaligned little-endian 16-bit value
0x08001130,WriteU32LE,28,matching,serialization,Writes an unaligned little-endian 32-bit value
0x0800114C,BuildActiveMenuItems,160,matching,ui,Filters active menu items and calculates horizontal layout; exact 0x114C-0x11EB region size measured including the tail pool (byte-matching evidence)
0x080011EC,DrawMenuItems,448,matching,ui,Draws active menu labels and formats numeric values; exact 0x11EC-0x13AB region size measured including the tail pool (byte-matching evidence)
0x080013AC,InitMenuScreen,172,matching,ui,Initializes menu display state and uploads palette/clears VRAM; exact 0x13AC-0x1457 region size measured including the tail pool (byte-matching evidence)
0x08001458,RunMenuScreen,1448,decompiled,ui,Builds/draws menu hierarchy and handles navigation/actions until exit; the real body is 0x1458-0x19DE; Ghidra stopped at the jump table and counted 956; boundary corrected against the ROM (audit_boundaries.py)
0x08001A00,RunMenuLoop,960,matching,ui,"Builds the menu hierarchy, handles input and redraws; five-case switch on the action return value compiles to a jump table size measured including the tail pool (byte-matching evidence)"
0x08001DC0,ResetMenuState,64,matching,ui,Clears menu globals and active-item pointer table; exact in menu-helper block size measured including the tail pool (byte-matching evidence)
0x08001E00,IsMenuFlagSet,28,matching,ui,Tests a bit in the menu flag word; exact in menu-helper block size measured including the tail pool (byte-matching evidence)
0x08001E1C,FinalizeMenuLayout,18,matching,ui,Updates the menu layout-dependent rendering state; exact in menu-helper block
