start,end,binary,module,notes
0x080000C0,0x08000104,build/bootstrap/agb_main.bin,bootstrap,ARM entry and literal pool
0x08000104,0x08000220,build/bootstrap/intr_main.bin,interrupt,ARM IRQ dispatcher and literal pool
0x08000220,0x0800038C,build/interrupt/vblank_intr.bin,interrupt,VBlank handler and literal pools
0x0800038C,0x08000430,build/bootstrap/init_interrupts.bin,bootstrap,IRQ table initialization and literals
0x08000430,0x08000730,build/bootstrap/game_init.bin,bootstrap,Main initialization and game loop
0x08000730,0x080007B4,build/interrupt/irq_helpers.bin,interrupt,IRQ helper block
0x080007B4,0x0800082C,build/bootstrap/reset_display_interrupts.bin,bootstrap,Display/interrupt reset
0x0800082C,0x0800091C,build/save/init_save_system.bin,save,CRAWSAVE metadata initialization
0x0800091C,0x080009EC,build/save/read_eeprom_bytes.bin,save,Aligned EEPROM reads
0x080009EC,0x08000B00,build/save/write_eeprom_bytes.bin,save,Aligned EEPROM writes
0x08000B00,0x08000BE4,build/save/save_slots.bin,save,Generic save slot wrappers
0x08000BE4,0x08000C28,build/save/save_wrappers.bin,save,Metadata wrappers
0x08000C28,0x08000DDC,build/save/save_manager.bin,save,Three-slot game save manager
0x08000DDC,0x08000F1C,build/save/read_eeprom_range.bin,save,Unaligned EEPROM reads
0x08000F1C,0x08001094,build/save/write_eeprom_range.bin,save,Unaligned EEPROM writes
0x08001094,0x0800114C,build/save/save_helpers.bin,serialization,Erase/header/little-endian helpers
0x0800114C,0x080011EC,build/ui/build_active_menu_items.bin,ui,Active menu filtering and layout
0x080011EC,0x080013AC,build/ui/draw_menu_items.bin,ui,Menu rendering and numeric formatting
0x080013AC,0x08001458,build/ui/init_menu_screen.bin,ui,Menu display initialization
0x08001A00,0x08001DC0,build/ui/menu_loop.bin,ui,"Menu loop: hierarchy, input and redraw"
0x08001DC0,0x08001E30,build/ui/menu_helpers.bin,ui,Menu state helpers
0x08001E30,0x08001F04,build/ui/menu_graphics.bin,ui,Menu graphics and display helpers
0x08005FC4,0x08005FD0,build/world/wrap_08005fc4.bin,world,kucuk fonksiyon hasadi
0x08008064,0x08008094,build/world/history_push.bin,world,PushHistory; 31 girdilik geçmiş kuyruğu kaydırması
0x08008094,0x080080A4,build/world/set_index.bin,world,SetTableIndex sarmalayicisi
0x08008108,0x0800811C,build/core/zero_history.bin,core,gecmis tamponunu Memset ile sifirlama
0x0800A930,0x0800A94C,build/core/read_triple.bin,core,gRam02011030 +0x30/+0x34/+0x38 disari yazma
0x0800A94C,0x0800A980,build/misc/coord_accessors.bin,misc,Dort koordinat erisimcisi (0x02011030 +12/+16/+72 ve 0x020110AC)
0x0800A980,0x0800A9E4,build/core/clip_bounds.bin,core,sinir kutusu daraltma
0x0800AAD0,0x0800AAE8,build/misc/coord_more.bin,misc,Coord unk04 + flag
0x0800AB30,0x0800AB40,build/core/clear_coord_byte71.bin,core,CoordBlock +0x71 baytini sifirlama
0x0800DBE8,0x0800DC44,build/world/list_ops.bin,world,Push-front ve remove
0x080100D0,0x0801014C,build/core/memory_init.bin,core,Tampon ayirma ve DMA3 sifirlama; dogal C byte-matching.
0x080101D8,0x080101E4,build/world/wrap_080101d8.bin,world,kucuk fonksiyon hasadi
0x080127FC,0x0801282C,build/core/list_ops2.bin,core,List init + push front (varyant)
0x0801282C,0x08012898,build/core/insert_sorted.bin,core,sirali listeye ekleme
0x08012898,0x08012944,build/core/linked_list.bin,core,"Cift bagli liste: ekle, cikar, ilklendir, iki dolasim"
0x08012944,0x08012968,build/core/for_each_node.bin,core,liste uzerinde geri cagirma
0x08012A00,0x08012A98,build/core/sort_sprite_list.bin,core,152 bayt C byte-matching; kararli sprite liste siralamasi
0x08012A98,0x08012AA4,build/world/wrap_08012a98.bin,world,kucuk fonksiyon hasadi
0x08012B20,0x08012B9C,build/core/init_sprite_pool.bin,core,124 bayt C byte-matching; 128 sprite dugumu ve OAM DMA sifirlama
0x08012B9C,0x08012C0C,build/core/flush_sprite_list.bin,core,112 bayt C byte-matching; OAM yazimi ve fazla sprite yuvalarini gizleme
0x08012C0C,0x08012C54,build/core/alloc_node.bin,core,72 bayt C byte-matching; daha once eslesen AllocNode kalici build kaydi
0x08012C54,0x08012C74,build/core/sort_active_sprites.bin,core,32 bayt C byte-matching; aktif sprite listesini kesmeler kapaliyken sirala
0x08012C74,0x08012CD8,build/core/insert_sprite_sorted.bin,core,98 bayt C byte-matching + 2 bayt hizalama; kararli sprite ekleme
0x080138E8,0x080138F4,build/world/wrap_080138e8.bin,world,kucuk fonksiyon hasadi
0x080138F4,0x08013900,build/world/wrap_080138f4.bin,world,kucuk fonksiyon hasadi
0x08013974,0x080139D0,build/world/list_head.bin,world,"Entry lookup, chain count, chain mark"
0x08013A28,0x08013A84,build/world/dma_flush.bin,world,Sabit cagri + DMA bosaltma
0x08014FA0,0x08014FAC,build/world/wrap_08014fa0.bin,world,kucuk fonksiyon hasadi
0x080154D8,0x08015598,build/world/actor_init.bin,world,InitActor; 184 bayt gövde + literal havuzu
0x08019450,0x0801952C,build/world/actor_control.bin,world,Alti varlik denetim fonksiyonu
0x08019670,0x08019710,build/world/object_state.bin,world,Dort nesne durum sorgusu: moda gore olcekleme ve alt nesne kilit testleri
0x080199BC,0x08019A44,build/world/palette_lerp.bin,world,On alti BGR555 rengin 16.16 katsayili karisimi; dogal C byte-matching ve 2 bayt hizalama.
0x08019B08,0x08019B5C,build/world/actor_check.bin,world,Aktor durum + yon farki
0x0801D7DC,0x0801D808,build/world/window_config.bin,world,Pencere ayarlari
0x0801D848,0x0801D86C,build/world/init_and_mirror.bin,world,karmasik hasat
0x0801D8B0,0x0801D8BC,build/world/get_field_100.bin,world,kucuk fonksiyon hasadi
0x0802392C,0x08023974,build/world/pair_lookup.bin,world,Sifirlayici + cift indeksleme
0x08023A0C,0x08023A68,build/world/threshold.bin,world,Bant hesaplayici + sifirlama/max/reload
0x08023A80,0x08023A9C,build/world/masked_compare.bin,world,maskeli karsilastirma
0x08028C48,0x08028CE8,build/world/table_entries.bin,world,"Uc tablo girdisi yardimcisi: aktiflik testi, iki serbest birakma"
0x08028E3C,0x08028E6C,build/world/kind_scan.bin,world,HasWantedEntry; 14 girdilik etkin tür taraması
0x08028E6C,0x08028E88,build/world/frame_chain.bin,world,Kare zinciri
0x08028FFC,0x08029014,build/world/scan_active.bin,world,Uc katmanli zincir + negasyon
0x08029014,0x08029054,build/world/scan_all.bin,world,ProcessFirstEntry; 62 bayt fonksiyon + 2 bayt hizalama dolgusu
0x0803084C,0x08030860,build/world/set_bg1_enable.bin,world,DISPCNT bit 9 kurma
0x08030860,0x08030874,build/world/clear_bg1_enable.bin,world,DISPCNT bit 9 temizleme
0x08030874,0x08030884,build/world/forward_with_zero.bin,world,sifir arguman ekleyerek iletme
0x08030884,0x080308A0,build/world/notify_if_ready.bin,world,nesne hazirsa FUN_0802B2B4 bildirimi
0x080308A0,0x080308AC,build/world/slot_release.bin,world,Yuva serbest birakma cagricisi
0x080308AC,0x080308EC,build/world/release_slot.bin,world,ReleaseSlot; iki tabanlı yuva serbest bırakma
0x08030C0C,0x08030C24,build/world/lookup_then_call.bin,world,kayit sozunu bulup iletme
0x08030C28,0x08030C4C,build/world/zero_two_blocks.bin,world,iki bayrak blogunu Memset ile sifirlama
0x08030C4C,0x08030CB4,build/world/area_flags.bin,world,192 bitlik alan bayraklari: test ve set
0x08030EA0,0x08030EAC,build/world/spin_delay.bin,world,kucuk fonksiyon hasadi
0x08031C10,0x08031C98,build/world/nibble_replace.bin,world,On alti kelimede dort nibble alani degistirme; dogal C byte-matching.
0x08031D24,0x08031D88,build/world/flag_arrays.bin,world,Iki bayrak dizisi tarama + blok temizleme
0x08031DB8,0x08031DDC,build/world/step_then_check.bin,world,adim atip bayrak sinama
0x08032058,0x08032090,build/world/entity_flags.bin,world,Entity save-flag lookup
0x08032090,0x080320BC,build/world/entity_accessors.bin,world,Five small entity accessors
0x080320C8,0x080320E0,build/world/copy_flag_byte.bin,world,0x02000D50 +8 baytini +9'a kopyalar
0x080336EC,0x0803376C,build/world/id_verify.bin,world,Kimlik dogrulama + tetikleme
0x0803376C,0x0803378C,build/world/zero_three_flags.bin,world,uc bayragi sifirlama
0x0803378C,0x08033798,build/world/wrap_0803378c.bin,world,kucuk fonksiyon hasadi
0x0803379C,0x080337A8,build/world/wrap_0803379c.bin,world,kucuk fonksiyon hasadi
0x08035DD8,0x08035DE4,build/world/wrap_08035dd8.bin,world,kucuk fonksiyon hasadi
0x08037F1C,0x08037F70,build/misc/state_getters.bin,misc,Seven small state getters
0x08037F70,0x08037F7C,build/world/pool_first.bin,world,gRam0202F300 +0 getirici
0x08037FAC,0x08038000,build/world/pool_gets.bin,world,Dort havuz +8 getirici ve MarkAndClear
0x08038000,0x08038020,build/world/clear_flag_notify.bin,world,bayrak temizleyip bos ise bildirme
0x08038020,0x0803802C,build/world/forward_zero_arg4.bin,world,dorduncu argumani sifirlayarak iletme
0x08038044,0x08038060,build/world/slot_range_or_field.bin,world,karmasik hasat
0x080381F8,0x08038234,build/world/object_query.bin,world,ProbeObject; varsayılan parametrelerle nesne sınaması
0x08038234,0x0803824C,build/world/submit_object.bin,world,Nesne gonderme sarmalayicisi
0x0803824C,0x08038260,build/world/get_inner_id.bin,world,GetInnerId; iki halkalı iç nesne kimliği
0x08038260,0x08038298,build/world/object_value.bin,world,"Nesne deger cozumu: sinama, dolayli yuva, dogrudan ayrinti"
0x08038358,0x080383B8,build/world/object_helpers.bin,world,"Dort nesne yardimcisi: devretme, bayrak sorgusu, guncelleme zinciri, varsayilanli kimlik"
0x0803C050,0x0803C0E4,build/world/slot_config.bin,world,Yuva yapilandirmasi ve iki okuyucu
0x0803C0E4,0x0803C178,build/world/apply_two_levels.bin,world,iki seviyeyi kirpip uygulama
0x0803C178,0x0803C1B4,build/world/slot_range.bin,world,Yuva menzili + varsayilan sabit
0x0803C45C,0x0803C47C,build/world/select_word_source.bin,world,kaynak secip yarim soz okuma
0x0803C49C,0x0803C508,build/world/slot_selectors.bin,world,Uc yuva secici; SlotCD ve GetSubValue ortak kuyrukta birlesiyor
0x0803C53C,0x0803C5B4,build/world/slot_query.bin,world,"Bes yuva sorgusu: sabit, aktif yuva, olcek adimi, hedef isaretleme"
0x0803C77C,0x0803C798,build/misc/session_reset.bin,misc,Small session helpers
0x0803C798,0x0803C7C0,build/misc/session_node.bin,misc,Session node reset
0x0803C7D4,0x0803C7EC,build/world/submit_pack.bin,world,12 baytlik paketi gRam0202F360'a kopyalayip iletir
0x0803F630,0x0803F67C,build/world/state_init.bin,world,"Durum kurulum, bos, cagirici, degistirici"
0x0803F67C,0x0803F69C,build/world/init_handler_pack.bin,world,isleyici ve 12 baytlik paket kurma
0x0803F69C,0x0803F6D8,build/world/rearm_slot.bin,world,yuvayi yeniden kurma
0x0803F6D8,0x0803F6F8,build/world/retarget_if_kind4.bin,world,tur 4 ise isleyiciyi degistirme
0x0803F6F8,0x0803F78C,build/world/actor_states.bin,world,Dort varlik durum ayarlayicisi
0x08042058,0x080420B4,build/world/map_tile_fields.bin,world,"Karo alan getiricileri (bit 7-9, tur)"
0x08042434,0x08042470,build/world/map_tiles.bin,world,"Harita karosu turu sorgusu: (y<<shift)+x karo indeksi, tur 1..4 ve engel bitleri bos"
0x080424A8,0x080424EC,build/world/tile_and_map.bin,world,Karo alan (2. deger) + harita boyutlari
0x08042784,0x08042790,build/world/wrap_08042784.bin,world,kucuk fonksiyon hasadi
0x080428AC,0x080428B8,build/world/wrap_080428ac.bin,world,kucuk fonksiyon hasadi
0x0804FB4C,0x0804FB58,build/world/wrap_0804fb4c.bin,world,kucuk fonksiyon hasadi
0x0804FF98,0x0804FFA4,build/world/wrap_0804ff98.bin,world,iletme sarmalayicisi
0x0804FFB4,0x0804FFC0,build/world/wrap_0804ffb4.bin,world,iletme sarmalayicisi
0x080500D0,0x080500DC,build/world/wrap_080500d0.bin,world,iletme sarmalayicisi
0x08050108,0x08050130,build/world/bump_or_trigger.bin,world,karmasik hasat
0x08050190,0x080501C8,build/world/word_compare.bin,world,Iki kelime karsilastiricisi
0x08050918,0x08050970,build/world/anchor_reset.bin,world,Anchor sifirlama ; ResetAnchorPartial (0x08050958) eklendi
0x08050988,0x08050994,build/world/get_anchor_unk04.bin,world,sarmalayici/erisimci hasadi
0x08050994,0x080509C4,build/world/get_slot_unk10.bin,world,0x02030330 +0x10 getirici
0x080509C4,0x080509DC,build/world/offset_helpers.bin,world,CallWithOffset; void ofsetli çağrı sarmalayıcısı
0x080509DC,0x080509F4,build/world/gRam02030330_gets.bin,world,gRam02030330.base okuma / slot yazma
0x080509F4,0x08050A00,build/world/get_anchor_unk30.bin,world,sarmalayici/erisimci hasadi
0x08050A00,0x08050A0C,build/world/get_anchor_unk34.bin,world,Anchor +0x34 getirici
0x08050A0C,0x08050A34,build/world/check_current_entity.bin,world,karmasik fonksiyon hasadi
0x08050A34,0x08050A48,build/world/is_anchor_small.bin,world,kosullu sabit donus
0x080512B0,0x080512BC,build/world/get_record_index.bin,world,yaprak erisimci
0x0805135C,0x08051458,build/core/frame_dispatch.bin,core,Kare isleme zincirleri ve tani isaretleri
0x08051464,0x08051470,build/world/wrap_08051464.bin,world,iletme sarmalayicisi
0x08051480,0x0805148C,build/world/wrap_08051480.bin,world,sarmalayici/erisimci hasadi
0x0805148C,0x080514A0,build/world/is_state_two.bin,world,kosullu sabit donus
0x080514C8,0x08051514,build/misc/record_table.bin,misc,Record table accessors
0x0805151C,0x08051540,build/world/drain_two_chains.bin,world,iki zinciri sonuna kadar yurume
0x08051540,0x080515D0,build/core/adjust_area_position.bin,core,Alan derinligi degisiminde konum ofsetini duzeltir
0x08055970,0x08055A00,build/core/probe_nearby_position.bin,core,Konumu dort komsu ofsette sinar
0x08055A68,0x08055AF8,build/world/node_search.bin,world,Sirali dugum arama ve kimlik siniflandirma
0x08055AF8,0x08055B34,build/world/entity_query.bin,world,QueryEntity; varlık türü ve alt-hedef bayrak sorgusu
0x08055B34,0x08055B80,build/world/engage_actor.bin,world,aktoru devreye alma
0x08055BBC,0x08055BE8,build/world/refresh_then_notify.bin,world,karmasik fonksiyon hasadi
0x08055BF8,0x08055C04,build/world/forward_zero_arg2.bin,world,ikinci argumani sifirlayarak iletme
0x08055C8C,0x08055D08,build/world/slot_scan.bin,world,Yuva tarayici ve DMA silici
0x08055D08,0x08055D90,build/world/slot_table.bin,world,"Yuva kimlik tablosu: dizin, bos aralik arayici, DMA doldurucu"
0x0805643C,0x08056508,build/core/reset_runtime_globals.bin,core,Runtime global durum alanlarini sifirlar
0x08059D7C,0x08059D88,build/world/wrap_08059d7c.bin,world,sarmalayici/erisimci hasadi
0x0805A4F4,0x0805A500,build/world/wrap_0805a4f4.bin,world,iletme sarmalayicisi
0x0805AC44,0x0805AC50,build/world/counter_saturate.bin,world,Kopyalama
0x0805AC50,0x0805AC88,build/world/bump_or_reset.bin,world,BumpOrReset; koşullu sıfırlanan doygun sayaç
0x0805AC94,0x0805AD10,build/world/link_objects.bin,world,Nesne baglama ve durum bitleri; dogal C byte-matching.
0x0805D878,0x0805DA88,build/misc/id_compatibility.bin,misc,Equal IDs or membership in the shared special group
0x0805E6C4,0x0805E700,build/misc/table_lookup.bin,misc,Record table selector and reader
0x08062294,0x080622C0,build/world/ram_state.bin,world,Mode kategorisi + iki alan yazici
0x0806233C,0x08062364,build/world/is_mode_two.bin,world,0x02036050 kip bayti == 2 sorgusu
0x08062514,0x08062530,build/world/ram_flags.bin,world,gRam02035EA0.type sorgusu
0x08062530,0x0806254C,build/world/is_ram_mode.bin,world,IsRamModeWanted; RAM etkinlik ve mod sorgusu
0x08062654,0x08062660,build/world/get_ram_word16.bin,world,yaprak erisimci
0x08063BCC,0x08063BD8,build/world/wrap_08063bcc.bin,world,iletme sarmalayicisi
0x0806434C,0x08064590,build/text/draw_text.bin,text,"Text drawing: three alignments, glyph and string width"
0x08065130,0x080651E0,build/world/spawn_slot_effect.bin,world,Etkin yuva icin 51 numarali girisi uretir; dogal C byte-matching.
0x08065378,0x0806543C,build/world/actor_tracking.bin,world,Aktor hareket izleme kurulumu ve birikim adimi; dogal C byte-matching.
0x0806543C,0x0806549C,build/world/player_slot_query.bin,world,Oyuncu yuvasi bayragi ve varlik mesguliyet sorgulari; dogal C byte-matching ve 2 bayt hizalama.
0x0806549C,0x08065518,build/world/scale_by_band.bin,world,Mesafe bandina gore 8.8 sabit noktali olcekleme.
0x08065518,0x08065574,build/world/slot_range_query.bin,world,"Yuva isareti, deger araligi ve ROM bayt tablosu; dogal C byte-matching."
0x08065574,0x08065650,build/world/bitmap_asset.bin,world,"Kare ve palet yukleyici; RL acilimi veya DMA3, ardindan palet ofseti."
0x08066144,0x0806620C,build/world/link_session_reset.bin,world,"Baglanti oturumunu bastan kurar: blok kurulumu, sekiz tampon Memset, durum alanlari."
0x080663E8,0x080664A4,build/world/link_session.bin,world,"Baglanti oturumu kapanis, karartma ve bekleme adimlari; dogal C byte-matching."
0x080664A4,0x080664F0,build/world/pause_helpers.bin,world,"Duraklatma: sabit, kosullu sifirlama, oturum aktif mi"
0x080664F0,0x0806651C,build/world/maybe_advance.bin,world,MaybeAdvance; 42 bayt fonksiyon + 2 bayt hizalama dolgusu
0x08066540,0x08066568,build/world/reset_session_flags.bin,world,oturum bayraklarini sifirlama
0x08066568,0x0806660C,build/world/link_init.bin,world,"Baglanti blogunu sifirlar, SIO kaydini kurar, tampon isaretcilerini yazar."
0x0806660C,0x0806673C,build/world/link_frame_step.bin,world,"Kare basi baglanti surucusu: uc durumlu makine, seri->timer3 gecisi, paket alma."
0x08066904,0x08066A40,build/world/link_dispatch.bin,world,"Seri (SIO) kesme isleyicisi: kare kapatma, tampon takasi, sonraki gonderim."
0x08066A40,0x08066A54,build/world/comm_flag.bin,world,Iletisim bayragi
0x08066A54,0x08066AA8,build/world/link_hw_reset.bin,world,"Timer3/seri kesmeleri kapatir, SIOCNT ve Timer3 sifirlar."
0x08066AA8,0x08066B40,build/world/link_report.bin,world,Baglanti ozet kaydini yedi sorgu ve 36 baytlik blok kopyasiyla doldurur.
0x08066B40,0x08066C94,build/world/link_state_step.bin,world,"Etkin kaydin adim sayacini artirip 20de doyurur, 19/9 esiginde uyari bayragi kaldirir."
0x08066C94,0x08066D54,build/world/bump_rank_counter.bin,world,Etkin kaydin 5 bitlik sayacini artirip 20de doyurur; dogal C byte-matching.
0x08066D54,0x08066ED0,build/world/rank_query.bin,world,Kayit alanini kimlige gore donduren 36 durumlu atlama tablosu.
0x08066ED0,0x08067014,build/world/link_menu_step.bin,world,Adim indeksini simge kimligine ceviren 36 durumlu atlama tablosu.
0x08067184,0x080671B8,build/world/bump_count_82.bin,world,Gecikmeyle cevrelenmis +0x82 kayit sayaci; dogal C byte-matching.
0x080671B8,0x0806720C,build/world/more_counters.bin,world,Uc tasma korumali u16 artirici
0x0806720C,0x08067228,build/world/bump_save_counter.bin,world,gSaveBuffer +0x66 doyuran sayac
0x08067228,0x08067274,build/world/stat_counters.bin,world,Uc istatistik sayaci: tasma korumali artirim ve biriktirici sifirlama
0x08067274,0x080672B8,build/world/distance_accum.bin,world,AddDistance; mutlak delta mesafe ve taşma biriktiricisi
0x080672B8,0x080672FC,build/world/accumulate_distance.bin,world,mesafe biriktirme ve tasma sayaci
0x080672FC,0x08067370,build/misc/format_decimal.bin,misc,Ondalik basamak yazici; 10 kuvvet tablosuyla tekrarli cikarma.
0x08067374,0x080673AC,build/world/more_counters_2.bin,world,u16 ve u8 tasma korumali sayaclar
0x080673C4,0x080673FC,build/world/more_counters_3.bin,world,u8 tasma korumali sayaclar
0x0806B84C,0x0806B88C,build/bios/syscalls.bin,bios,"BIOS syscall thunk'lari (swi); C'ye cevrilemez, kalici assembly"
