address,name,size,origin,partner,similarity,neighbours
0x080024B4,FUN_080024b4,332,fresh-neighbour,,,3
0x08007FDC,FUN_08007fdc,136,fresh-neighbour,,,3
0x080080A4,FUN_080080a4,100,fresh-neighbour,,,3
0x0800811C,FUN_0800811c,116,fresh-neighbour,,,3
0x0800A484,FUN_0800a484,92,fresh-neighbour,,,3
0x0800AFF8,FUN_0800aff8,172,fresh-neighbour,,,3
0x0800B0A4,FUN_0800b0a4,46,fresh-neighbour,,,3
0x0800B0D4,FUN_0800b0d4,108,fresh-neighbour,,,3
0x0800B5B4,FUN_0800b5b4,134,fresh-neighbour,,,3
0x0800BEC0,FUN_0800bec0,88,fresh-neighbour,,,3
0x0800DC44,FUN_0800dc44,112,twin,0x0800DEA4,1.000000,
0x0800DD50,FUN_0800dd50,52,fresh-neighbour;twin,0x080357CC,0.884615,3
0x0800DEA4,FUN_0800dea4,112,twin,0x0800DC44,1.000000,
0x0801014C,FUN_0801014c,76,fresh-neighbour,,,4
0x0801019C,FUN_0801019c,60,fresh-neighbour,,,4
0x080101E8,FUN_080101e8,60,fresh-neighbour,,,3
0x0801262C,FUN_0801262c,100,fresh-neighbour,,,3
0x08012690,FUN_08012690,84,fresh-neighbour,,,4
0x08013098,FUN_08013098,60,fresh-neighbour,,,4
0x08013450,FUN_08013450,84,twin,0x080134A4,1.000000,
0x080134A4,FUN_080134a4,84,twin,0x08013450,1.000000,
0x08013824,FUN_08013824,196,fresh-neighbour,,,3
0x08013B9C,FUN_08013b9c,352,fresh-neighbour,,,4
0x080150D0,FUN_080150d0,64,fresh-neighbour,,,3
0x08015110,FUN_08015110,76,fresh-neighbour,,,4
0x08015A84,FUN_08015a84,114,fresh-neighbour,,,6
0x08018F58,FUN_08018f58,312,fresh-neighbour,,,4
0x08019090,FUN_08019090,464,fresh-neighbour,,,4
0x08019260,FUN_08019260,192,fresh-neighbour,,,4
0x08019320,FUN_08019320,164,fresh-neighbour,,,4
0x08019590,FUN_08019590,98,fresh-neighbour,,,8
0x0801983C,FUN_0801983c,168,fresh-neighbour,,,3
0x08019A80,FUN_08019a80,76,fresh-neighbour,,,3
0x08019B5C,FUN_08019b5c,112,fresh-neighbour,,,3
0x08019BCC,FUN_08019bcc,54,fresh-neighbour,,,3
0x0801D754,FUN_0801d754,136,fresh-neighbour,,,3
0x0801D818,FUN_0801d818,48,fresh-neighbour,,,4
0x08023778,FUN_08023778,26,twin,0x08023794,1.000000,
0x08023794,FUN_08023794,26,twin,0x08023778,1.000000,
0x080237B0,FUN_080237b0,184,fresh-neighbour,,,4
0x08025C18,FUN_08025c18,162,fresh-neighbour,,,3
0x08025FC0,FUN_08025fc0,116,twin,0x08026034,0.965517,
0x08026034,FUN_08026034,116,twin,0x08025FC0,0.965517,
0x080284D0,FUN_080284d0,132,fresh-neighbour,,,3
0x08028EC0,FUN_08028ec0,52,fresh-neighbour,,,3
0x08028EF4,FUN_08028ef4,88,fresh-neighbour,,,3
0x08028FB8,FUN_08028fb8,68,fresh-neighbour,,,3
0x08029088,FUN_08029088,108,fresh-neighbour,,,3
0x080290F4,FUN_080290f4,60,fresh-neighbour,,,4
0x08029130,FUN_08029130,44,fresh-neighbour,,,4
0x0802915C,FUN_0802915c,92,fresh-neighbour,,,3
0x080294E4,FUN_080294e4,52,fresh-neighbour,,,3
0x08029518,FUN_08029518,392,fresh-neighbour,,,3
0x0802A9F0,FUN_0802a9f0,296,twin,0x0802AB18,0.952703,
0x0802AB18,FUN_0802ab18,296,twin,0x0802A9F0,0.952703,
0x080308EC,FUN_080308ec,72,fresh-neighbour,,,4
0x08030AE4,FUN_08030ae4,56,fresh-neighbour,,,3
0x08030D0C,FUN_08030d0c,64,fresh-neighbour,,,4
0x08030D4C,FUN_08030d4c,56,fresh-neighbour,,,4
0x08030D84,FUN_08030d84,48,fresh-neighbour,,,4
0x08030DD8,FUN_08030dd8,56,fresh-neighbour,,,4
0x08031054,FUN_08031054,108,fresh-neighbour,,,3
0x080310C0,FUN_080310c0,116,fresh-neighbour,,,3
0x08031134,FUN_08031134,168,fresh-neighbour,,,3
0x08031204,FUN_08031204,56,fresh-neighbour,,,5
0x08031DDC,FUN_08031ddc,60,fresh-neighbour,,,4
0x08031E18,FUN_08031e18,40,fresh-neighbour,,,3
0x08032008,FUN_08032008,80,fresh-neighbour,,,4
0x08032168,FUN_08032168,84,fresh-neighbour,,,3
0x08032548,FUN_08032548,68,twin,0x0803258C,0.941176,
0x0803258C,FUN_0803258c,68,twin,0x08032548,0.941176,
0x0803389C,FUN_0803389c,56,fresh-neighbour,,,4
