address,name,size,outcome,source,evidence
0x08005E8C,FUN_08005e8c,208,parked,,ROM statik triyaj: 5 cagri / 0 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x08007FDC,FUN_08007fdc,136,parked,,ROM statik triyaj: 3 cagri / 6 kosullu dal / 6 literal; bagimli imza-ve-tur blogu gerekli
0x080081D4,FUN_080081d4,124,parked,,ROM statik triyaj: 5 cagri / 3 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x0800AF48,FUN_0800af48,174,parked,src/world/plane_classify.c,166/174 bayt; yerel/yazmac yasam araligi dagitimi
0x0800AFF8,FUN_0800aff8,172,parked,,ROM statik triyaj: 1 cagri / 0 kosullu dal / 0 literal; bagimli imza-ve-tur blogu gerekli
0x0800B16C,FUN_0800b16c,280,parked,,ROM statik triyaj: 0 cagri / 8 kosullu dal / 0 literal; karsilastirma agaci C denemesi gerekli
0x0800C180,FUN_0800c180,320,parked,,ROM statik triyaj: 8 cagri / 21 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x080100D0,InitWorkBuffers,124,matching,src/core/memory_init.c,ROM byte-matching
0x08011BE8,FUN_08011be8,268,parked,,ROM statik triyaj: 1 cagri / 6 kosullu dal / 11 literal; RAM tur blogu gerekli
0x08011DD4,FUN_08011dd4,176,parked,src/core/bg2_affine.c,168/176 bayt; r8/r9 yasam araligi ve ayri ofset literal havuzu
0x08012CD8,FUN_08012cd8,320,parked,src/core/sprite_b1.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x080137A4,FUN_080137a4,128,parked,,ROM statik triyaj: 1 cagri / 0 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x08013824,FUN_08013824,196,parked,,ROM statik triyaj: 8 cagri / 0 kosullu dal / 6 literal; bagimli imza-ve-tur blogu gerekli
0x08013ABC,FUN_08013abc,224,parked,,ROM statik triyaj: 8 cagri / 13 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x08014E48,FUN_08014e48,154,parked,src/world/transition_code.c,168/154 bayt; switch ve if/else karsilastirma agaclari elendi
0x08014EE4,FUN_08014ee4,124,parked,,ROM statik triyaj: 3 cagri / 6 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x080157B8,FUN_080157b8,124,parked,,ROM statik triyaj: 1 cagri / 8 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x08015834,FUN_08015834,362,parked,,ROM statik triyaj: 14 cagri / 20 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x08019320,FUN_08019320,164,parked,,ROM statik triyaj: 3 cagri / 19 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x080193C4,FUN_080193c4,138,parked,,ROM statik triyaj: 2 cagri / 5 kosullu dal / 2 literal; bagimli imza-ve-tur blogu gerekli
0x08019710,FUN_08019710,140,parked,,ROM statik triyaj: 4 cagri / 14 kosullu dal / 0 literal; bagimli imza-ve-tur blogu gerekli
0x0801983C,FUN_0801983c,168,parked,,ROM statik triyaj: 0 cagri / 1 kosullu dal / 1 literal; atlama tablosu rekonstruksiyonu gerekli
0x080199BC,BlendPaletteBlock,134,matching,src/world/palette_lerp.c,ROM byte-matching
0x08019C24,FUN_08019c24,264,parked,,ROM statik triyaj: 0 cagri / 11 kosullu dal / 4 literal; RAM tur blogu gerekli
0x0801D754,FUN_0801d754,136,parked,,ROM statik triyaj: 2 cagri / 10 kosullu dal / 4 literal; bagimli imza-ve-tur blogu gerekli
0x080237B0,FUN_080237b0,184,parked,,ROM statik triyaj: 0 cagri / 2 kosullu dal / 2 literal; sabit nokta tur blogu gerekli
0x08023868,FUN_08023868,196,parked,,ROM statik triyaj: 0 cagri / 2 kosullu dal / 2 literal; sabit nokta tur blogu gerekli
0x08029518,FUN_08029518,392,parked,,ROM statik triyaj: 2 cagri / 1 kosullu dal / 19 literal; RAM tur blogu gerekli
0x080306C8,FUN_080306c8,384,parked,,ROM statik triyaj: 9 cagri / 9 kosullu dal / 18 literal; bagimli imza-ve-tur blogu gerekli
0x08030EAC,FUN_08030eac,124,parked,,ROM statik triyaj: 1 cagri / 0 kosullu dal / 11 literal; RAM tur blogu gerekli
0x08031C10,ReplaceNibbleField,136,matching,src/world/nibble_replace.c,ROM byte-matching
0x08031C98,FUN_08031c98,140,parked,,ROM statik triyaj: 1 cagri / 1 kosullu dal / 7 literal; RAM dizi tur blogu gerekli
0x08033674,FUN_08033674,120,parked,,ROM statik triyaj: 2 cagri / 5 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x080337A8,FUN_080337a8,120,parked,,ROM statik triyaj: 1 cagri / 2 kosullu dal / 9 literal; RAM tur blogu gerekli
0x08035BA8,FUN_08035ba8,300,parked,,ROM statik triyaj: 5 cagri / 6 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x08037D98,FUN_08037d98,228,parked,,ROM statik triyaj: 6 cagri / 13 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x08038108,FUN_08038108,154,parked,,ROM statik triyaj: 7 cagri / 5 kosullu dal / 2 literal; bagimli imza-ve-tur blogu gerekli
0x0803AFBC,FUN_0803afbc,480,parked,,ROM statik triyaj: 9 cagri / 20 kosullu dal / 18 literal; bagimli imza-ve-tur blogu gerekli
0x0803BDC8,FUN_0803bdc8,540,parked,,ROM statik triyaj: 16 cagri / 27 kosullu dal / 16 literal; bagimli imza-ve-tur blogu gerekli
0x0803F4BC,TryEngageTarget,372,parked,src/world/try_engage_target.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08041C64,FUN_08041c64,448,parked,,ROM statik triyaj: 4 cagri / 17 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x08041F8C,FUN_08041f8c,126,parked,,ROM statik triyaj: 1 cagri / 5 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x08042280,FUN_08042280,236,parked,,ROM statik triyaj: 2 cagri / 5 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x080424EC,FUN_080424ec,136,parked,,ROM statik triyaj: 2 cagri / 2 kosullu dal / 2 literal; bagimli imza-ve-tur blogu gerekli
0x08042574,FUN_08042574,180,parked,,ROM statik triyaj: 2 cagri / 6 kosullu dal / 2 literal; bagimli imza-ve-tur blogu gerekli
0x08042628,FUN_08042628,196,parked,,ROM statik triyaj: 6 cagri / 8 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x080426EC,FUN_080426ec,150,parked,,ROM statik triyaj: 2 cagri / 7 kosullu dal / 4 literal; bagimli imza-ve-tur blogu gerekli
0x080427C0,FUN_080427c0,124,parked,,ROM statik triyaj: 3 cagri / 2 kosullu dal / 4 literal; bagimli imza-ve-tur blogu gerekli
0x08045888,FUN_08045888,538,parked,,ROM statik triyaj: 20 cagri / 29 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x08047818,FUN_08047818,492,parked,,ROM statik triyaj: 4 cagri / 30 kosullu dal / 13 literal; RAM tur blogu gerekli
0x0804AEAC,FUN_0804aeac,476,parked,,ROM statik triyaj: 3 cagri / 28 kosullu dal / 15 literal; RAM tur blogu gerekli
0x0804FE64,FUN_0804fe64,120,parked,,ROM statik triyaj: 6 cagri / 3 kosullu dal / 1 literal; bagimli imza-ve-tur blogu gerekli
0x080501C8,FUN_080501c8,192,parked,,ROM statik triyaj: 2 cagri / 14 kosullu dal / 4 literal; bagimli imza-ve-tur blogu gerekli
