address,size
0x080000F4,16
0x08000218,8
0x08005FCE,18
0x08006304,224
0x08007F4C,20
0x080081AE,38
0x080083B8,44
0x08008BF0,4
0x0800A8A2,6
0x0800AA3C,148
0x0800AAE8,12
0x0800AB78,16
0x0800C2C0,508
0x0800CADE,6
0x0800CB04,4
0x0800DDD0,140
0x0800DE88,28
0x08011E84,64
0x0801258A,42
0x080127A2,6
0x080134F8,4
0x08014F60,64
0x08019A42,34
0x08019ACC,60
0x08019C06,10
0x0801D808,16
0x0801D884,28
0x0801D8A6,10
0x0801DB36,6
0x0801DD9A,50
0x0801FF12,46
0x0801FFB0,64
0x08021910,4
0x08023A68,24
0x08023A9C,4
0x080289AC,8
0x08029052,6
0x08029230,20
0x08029340,52
0x0802F264,368
0x08030B9C,76
0x08030C24,4
0x0803123C,88
0x080315CC,44
0x08031E40,4
0x080320BC,12
0x0803230E,10
0x08033796,6
0x08033890,8
0x080338D4,72
0x08033968,280
0x08033F14,4
0x08034924,24
0x08035100,8
0x08035300,24
0x0803559C,560
0x080358D4,4
0x0803592A,6
0x08035D24,4
0x08035E34,4
0x08035EEE,46
0x08037F7C,48
0x0803802C,24
0x080380CA,62
0x08038296,194
0x080384DC,20
0x0803859C,40
0x0803C47C,32
0x0803C508,52
0x0803C610,28
0x0803C7C0,20
0x0803C83C,4
0x0803C8FE,102
0x0803F9FA,62
0x08040D3C,20
0x08041EC8,12
0x080421A4,220
0x080423F8,60
0x0804FBB8,24
0x0804FC08,64
0x0804FEDC,8
0x0804FFBE,26
0x08050026,26
0x08051028,4
0x08051084,16
0x080510B2,6
0x080514A0,40
0x08051514,8
0x08055636,22
0x0805565E,22
0x08055B7E,62
0x08055E54,356
0x08056086,46
0x08056168,68
0x0805A21A,6
0x0805A33A,278
0x0805A55E,558
0x0805AADC,40
0x0805AC88,12
0x0805B112,10
0x0805B134,120
0x0805B2E6,38
0x0805B506,54
0x0805B568,16
0x0805B5E4,40
0x0805B79E,22
0x0805B81C,56
0x0805B8D0,56
0x0805B914,12
0x0805B986,54
0x0805BA04,12
0x0805D156,6
0x0805D384,24
0x0805D410,84
0x0805D59C,620
0x0805DEE0,352
0x0805E164,4
0x0805E288,4
0x0805E678,20
0x08061DC8,12
0x08061DEC,4
0x080622C0,124
0x08062364,12
0x08062372,58
0x080627DA,18
0x08063E14,36
0x0806611E,38
0x0806651A,38
0x080673AC,24
0x080675CE,42
0x0806B9FE,26
0x0806C0DE,22
0x08071B3E,22
0x08071BDC,4
0x08071C2A,14
0x08071DB0,4
